combination,dQTc_full_ms,tier_full,dQTc_CL_only_ms,dQTc_GCaL_only_ms,genuine_ICaL_ms,bazett_artifact_pct,genuine_ICaL_pct,IKr_block_pct
MPH+AMP,18.7,MODERATE,2.9,16.5,15.8,15.5,84.5,0.0
AMP+ARI,17.2,MODERATE,9.6,16.5,7.6,55.8,44.2,4.22
MPH+ARI,17.2,MODERATE,9.6,16.5,7.6,55.8,44.2,4.22
MPH+NOR,14.3,MODERATE,6.2,13.0,8.1,43.4,56.6,2.65
AMP+NOR,14.3,MODERATE,6.2,13.0,8.1,43.4,56.6,2.65
MPH+QUE,10.5,MODERATE,2.9,9.5,7.6,27.6,72.4,0.93
AMP+QUE,10.5,MODERATE,2.9,9.5,7.6,27.6,72.4,0.93
MPH+IMI,10.5,MODERATE,2.9,9.5,7.6,27.6,72.4,0.73
AMP+RIS,9.6,LOW-MOD,2.0,8.5,7.6,20.8,79.2,0.36
AMP+FLU,9.6,LOW-MOD,2.0,8.5,7.6,20.8,79.2,0.33
MPH+FLU,9.6,LOW-MOD,2.0,8.5,7.6,20.8,79.2,0.33
MPH+RIS,9.6,LOW-MOD,2.0,8.5,7.6,20.8,79.2,0.36
MPH+GUA,9.1,LOW-MOD,1.5,8.0,7.6,16.5,83.5,0.0
MPH+CLO,9.1,LOW-MOD,1.5,8.0,7.6,16.5,83.5,0.0
AMP+SER,9.1,LOW-MOD,1.5,8.0,7.6,16.5,83.5,0.19
MPH+SER,9.1,LOW-MOD,1.5,8.0,7.6,16.5,83.5,0.19
MPH+ESC,9.1,LOW-MOD,1.5,8.0,7.6,16.5,83.5,0.03
