combination,composite_score,score_label,dQTc_ms,IKr_block_pct,FAERS_ROR,FAERS_signal,component_dQTc,component_IKr,component_FAERS,flag_penalty,cyp2d6_flag,conduction_flag
MPH+ARI,72.2,MODERATE,18.1,4.22,8.15,True,90.5,42.2,61.7,0,False,False
ARI+IMI,61.0,MODERATE,11.0,4.92,14.67,True,55.0,49.2,79.0,0,False,False
ARI+GUA,57.2,MODERATE,7.3,4.22,10.25,True,36.5,42.2,68.4,10,False,True
AMP+ARI,53.7,MODERATE,18.1,4.22,0.69,False,90.5,42.2,0.0,0,False,False
ARI+NOR,51.0,MODERATE,15.0,6.76,9.34,False,75.0,67.6,0.0,0,False,False
ARI+SER,49.4,LOW-MOD,9.5,4.4,6.78,True,47.5,44.0,56.3,0,False,False
ARI+FLU,49.1,LOW-MOD,10.0,4.53,1.31,False,50.0,45.3,0.0,15,True,False
MPH+AMP,47.8,LOW-MOD,19.1,0.0,0.45,False,95.5,0.0,0.0,0,False,False
MPH+SER,46.9,LOW-MOD,9.6,0.19,12.79,True,48.0,1.9,74.9,0,False,False
QUE+FLU,44.6,LOW-MOD,3.0,1.25,9.18,True,15.0,12.5,65.2,15,True,False
MPH+QUE,44.0,LOW-MOD,11.0,0.93,5.25,True,55.0,9.3,48.8,0,False,False
MPH+NOR,42.3,LOW-MOD,14.8,2.65,1.0,False,74.0,26.5,0.0,0,False,False
AMP+NOR,42.3,LOW-MOD,14.8,2.65,11.41,False,74.0,26.5,0.0,0,False,False
ARI+ESC,39.7,LOW-MOD,9.5,4.25,2.31,True,47.5,42.5,24.7,0,False,False
QUE+ARI,39.0,LOW-MOD,11.5,5.11,1.6,False,57.5,51.1,0.0,0,False,False
RIS+ARI,38.8,LOW-MOD,10.0,4.56,1.71,True,50.0,45.6,15.7,0,False,False
MPH+GUA,37.8,LOW-MOD,6.8,0.0,3.4,True,34.0,0.0,36.0,10,False,True
FLU+NOR,37.2,LOW-MOD,6.5,2.98,9.34,False,32.5,29.8,0.0,15,True,False
ESC+IMI,35.9,LOW-MOD,2.0,0.76,28.01,True,10.0,7.6,98.0,0,False,False
QUE+GUA,34.6,LOW-MOD,-0.1,0.93,13.15,True,0.0,9.3,75.8,10,False,True
AMP+SER,33.5,LOW-MOD,9.6,0.19,2.81,True,48.0,1.9,30.4,0,False,False
RIS+FLU,31.6,LOW-MOD,1.5,0.68,3.69,True,7.5,6.8,38.4,15,True,False
SER+IMI,31.4,LOW-MOD,2.0,0.92,16.22,True,10.0,9.2,81.9,0,False,False
AMP+QUE,29.4,LOW-MOD,11.0,0.93,1.53,False,55.0,9.3,0.0,0,False,False
MPH+IMI,27.7,LOW-MOD,10.5,0.73,4.46,False,52.5,7.3,0.0,0,False,False
AMP+IMI,27.7,LOW-MOD,10.5,0.73,7.9,False,52.5,7.3,0.0,0,False,False
QUE+NOR,27.1,LOW-MOD,8.0,3.56,1.06,False,40.0,35.6,0.0,0,False,False
AMP+GUA,27.0,LOW-MOD,6.8,0.0,0.37,False,34.0,0.0,0.0,10,False,True
ARI+CLO,26.7,LOW-MOD,7.3,4.22,0.42,False,36.5,42.2,0.0,0,False,False
MPH+FLU,25.7,LOW-MOD,10.0,0.33,0.12,False,50.0,3.3,0.0,0,False,False
AMP+FLU,25.7,LOW-MOD,10.0,0.33,1.37,False,50.0,3.3,0.0,0,False,False
MPH+RIS,25.7,LOW-MOD,10.0,0.36,0.65,False,50.0,3.6,0.0,0,False,False
AMP+RIS,25.7,LOW-MOD,10.0,0.36,1.28,False,50.0,3.6,0.0,0,False,False
GUA+NOR,25.6,LOW-MOD,4.1,2.65,1.0,False,20.5,26.5,0.0,10,False,True
IMI+NOR,25.5,LOW-MOD,7.5,3.37,1.0,False,37.5,33.7,0.0,0,False,False
QUE+SER,24.1,LOW,2.5,1.12,5.84,True,12.5,11.2,51.9,0,False,False
FLU+IMI,23.4,LOW,2.5,1.06,3.11,False,12.5,10.6,0.0,15,True,False
MPH+ESC,22.8,LOW,9.1,0.03,1.1,False,45.5,0.3,0.0,0,False,False
AMP+ESC,22.8,LOW,9.1,0.03,0.36,False,45.5,0.3,0.0,0,False,False
RIS+NOR,22.2,LOW,6.5,3.0,14.67,False,32.5,30.0,0.0,0,False,False
SER+NOR,21.9,LOW,6.5,2.84,6.04,False,32.5,28.4,0.0,0,False,False
ESC+NOR,20.4,LOW,6.0,2.69,3.24,False,30.0,26.9,0.0,0,False,False
SER+GUA,18.8,LOW,-1.7,0.19,2.58,True,0.0,1.9,27.9,10,False,True
AMP+CLO,17.0,LOW,6.8,0.0,0.93,False,34.0,0.0,0.0,0,False,False
MPH+CLO,17.0,LOW,6.8,0.0,1.27,False,34.0,0.0,0.0,0,False,False
CLO+NOR,15.6,LOW,4.1,2.65,11.41,False,20.5,26.5,0.0,0,False,False
QUE+IMI,12.0,LOW,3.5,1.65,4.11,False,17.5,16.5,0.0,0,False,False
GUA+IMI,11.5,LOW,-0.6,0.73,7.9,False,0.0,7.3,0.0,10,False,True
FLU+GUA,10.7,LOW,-1.1,0.33,0.28,False,0.0,3.3,0.0,10,False,True
RIS+GUA,10.7,LOW,-1.1,0.36,1.93,False,0.0,3.6,0.0,10,False,True
ESC+GUA,10.1,LOW,-1.7,0.03,1.46,False,0.0,0.3,0.0,10,False,True
RIS+QUE,10.1,LOW,3.0,1.28,1.28,False,15.0,12.8,0.0,0,False,False
CLO+GUA,10.0,LOW,-1.5,0.0,0.26,False,0.0,0.0,0.0,10,False,True
RIS+IMI,8.4,LOW,2.5,1.09,2.77,False,12.5,10.9,0.0,0,False,False
QUE+ESC,6.9,LOW,2.0,0.96,0.58,False,10.0,9.6,0.0,0,False,False
RIS+SER,4.9,LOW,1.5,0.55,0.65,False,7.5,5.5,0.0,0,False,False
SER+FLU,4.8,LOW,1.5,0.52,0.72,False,7.5,5.2,0.0,0,False,False
RIS+ESC,3.3,LOW,1.0,0.39,0.31,False,5.0,3.9,0.0,0,False,False
FLU+ESC,3.2,LOW,1.0,0.36,0.36,False,5.0,3.6,0.0,0,False,False
QUE+CLO,1.9,LOW,-0.1,0.93,0.87,False,0.0,9.3,0.0,0,False,False
SER+ESC,1.7,LOW,0.5,0.22,0.98,False,2.5,2.2,0.0,0,False,False
CLO+IMI,1.5,LOW,-0.6,0.73,6.85,False,0.0,7.3,0.0,0,False,False
RIS+CLO,0.7,LOW,-1.1,0.36,1.83,False,0.0,3.6,0.0,0,False,False
FLU+CLO,0.7,LOW,-1.1,0.33,0.12,False,0.0,3.3,0.0,0,False,False
SER+CLO,0.4,LOW,-1.7,0.19,0.74,False,0.0,1.9,0.0,0,False,False
ESC+CLO,0.1,LOW,-1.7,0.03,2.69,False,0.0,0.3,0.0,0,False,False
