combination,n_requested,simulated_members,block_independent_pct,block_shared_site_pct,block_bound_width_pp,projected_dAPD90_ms,pct_of_baseline_APD90,sum_of_singles_ms,excess_over_additive_ms,excess_pct,sim_block_pct,APD90_ms,dAPD90_ms,sim_pct_of_baseline,sim_sum_of_singles_ms,sim_excess_over_additive_ms,projection_error_ms
ESC+QUE+RIS,3,ESC+QUE+RIS+9OHRIS,21.123,19.928,1.195,38.8,14.72,35.9,2.9,8.1,21.123,303.15,39.55,15.0,39.11,0.44,0.75
ESC+FLU+QUE,3,ESC+FLU+NORFLU+QUE,19.927,18.946,0.981,36.1,13.69,33.6,2.45,7.3,19.927,300.65,37.05,14.06,36.61,0.44,0.95
ESC+NOR+QUE,3,ESC+NOR+QUE,19.087,18.236,0.851,34.2,12.99,32.1,2.12,6.6,19.087,298.65,35.05,13.3,34.61,0.44,0.85
ESC+FLU+RIS,3,ESC+FLU+NORFLU+RIS+9OHRIS,18.978,18.088,0.89,34.0,12.9,31.8,2.16,6.8,18.978,298.65,35.05,13.3,34.61,0.44,1.05
ESC+QUE+SER,3,ESC+QUE+SER,18.664,17.88,0.784,33.3,12.64,31.4,1.95,6.2,18.664,298.15,34.55,13.11,34.11,0.44,1.25
ESC+NOR+RIS,3,ESC+NOR+RIS+9OHRIS,18.129,17.364,0.765,32.2,12.2,30.3,1.84,6.1,18.129,296.65,33.05,12.54,32.61,0.44,0.85
ESC+RIS+SER,3,ESC+RIS+9OHRIS+SER,17.7,16.999,0.701,31.2,11.85,29.6,1.67,5.7,17.7,296.15,32.55,12.35,32.11,0.44,1.35
ESC+QUE,2,ESC+QUE,17.411,16.828,0.584,30.6,11.62,29.2,1.43,4.9,17.411,295.65,32.05,12.16,31.58,0.47,1.45
ESC+FLU+NOR,3,ESC+FLU+NORFLU+NOR,16.886,16.317,0.57,29.5,11.2,28.1,1.45,5.2,16.886,294.15,30.55,11.59,30.11,0.44,1.05
ESC+FLU+SER,3,ESC+FLU+NORFLU+SER,16.452,15.943,0.508,28.6,10.85,27.3,1.29,4.7,16.452,293.65,30.05,11.4,29.61,0.44,1.45
ESC+RIS,2,ESC+RIS+9OHRIS,16.433,15.925,0.508,28.6,10.84,27.4,1.17,4.3,16.433,293.65,30.05,11.4,29.58,0.47,1.45
ESC+NOR+SER,3,ESC+NOR+SER,15.575,15.18,0.395,26.8,10.17,25.8,1.01,3.9,15.575,291.65,28.05,10.64,27.61,0.44,1.25
ESC+FLU,2,ESC+FLU+NORFLU,15.165,14.841,0.324,26.0,9.85,25.2,0.81,3.2,15.165,291.15,27.55,10.45,27.08,0.47,1.55
ESC+NOR,2,ESC+NOR,14.276,14.058,0.218,24.2,9.17,23.6,0.55,2.3,14.276,289.14,25.54,9.69,25.08,0.47,1.34
ESC+SER,2,ESC+SER,13.827,13.663,0.164,23.3,8.83,22.9,0.42,1.8,13.827,288.14,24.54,9.31,24.58,-0.03,1.24
FLU+QUE+RIS,3,FLU+NORFLU+QUE+RIS+9OHRIS,12.601,12.083,0.518,20.9,7.93,19.6,1.27,6.5,12.601,286.14,22.54,8.55,22.11,0.44,1.64
NOR+QUE+RIS,3,NOR+QUE+RIS+9OHRIS,11.684,11.247,0.437,19.2,7.27,18.1,1.05,5.8,11.684,284.14,20.54,7.79,20.11,0.44,1.34
QUE+RIS+SER,3,QUE+RIS+9OHRIS+SER,11.222,10.827,0.395,18.3,6.94,17.3,0.94,5.4,11.222,283.14,19.54,7.41,19.61,-0.06,1.24
FLU+NOR+QUE,3,FLU+NORFLU+NOR+QUE,10.344,10.038,0.306,16.7,6.32,15.9,0.82,5.2,10.344,281.64,18.04,6.84,17.6,0.44,1.34
FLU+QUE+SER,3,FLU+NORFLU+QUE+SER,9.875,9.606,0.269,15.8,6.0,15.1,0.72,4.8,9.875,280.64,17.04,6.46,17.1,-0.06,1.24
QUE+RIS,2,QUE+RIS+9OHRIS,9.855,9.585,0.27,15.8,5.99,15.2,0.6,3.9,9.855,280.64,17.04,6.46,17.07,-0.03,1.24
