age_group,combo,n_group,n_combo,n_cardiac,ROR,CI_lo,CI_hi,signal
children (6-12y),MPH+SER,170444,237,57,43.71,32.315,59.124,True
children (6-12y),MPH+ARI,170444,326,48,23.708,17.388,32.325,True
children (6-12y),MPH+QUE,170444,103,11,16.453,8.892,30.442,True
children (6-12y),ARI+GUA,170444,218,30,21.724,14.759,31.975,True
children (6-12y),QUE+GUA,170444,63,12,32.154,17.29,59.799,True
children (6-12y),QUE+FLU,170444,53,1,3.753,0.74,19.038,False
children (6-12y),MPH+RIS,170444,536,3,0.861,0.3,2.465,False
children (6-12y),AMP+SER,170444,73,0,0.893,0.055,14.415,False
adolescents (13-17y),MPH+SER,226409,325,6,1.861,0.855,4.05,False
adolescents (13-17y),MPH+ARI,226409,291,1,0.471,0.095,2.347,False
adolescents (13-17y),MPH+QUE,226409,126,2,1.836,0.525,6.424,False
adolescents (13-17y),ARI+GUA,226409,137,2,1.687,0.482,5.896,False
adolescents (13-17y),QUE+GUA,226409,60,2,3.908,1.101,13.866,True
adolescents (13-17y),QUE+FLU,226409,414,43,10.875,7.923,14.926,True
adolescents (13-17y),MPH+RIS,226409,295,2,0.778,0.224,2.704,False
adolescents (13-17y),AMP+SER,226409,348,11,3.123,1.733,5.63,True
all pediatric (<18y),MPH+SER,552707,578,63,12.788,9.84,16.62,True
all pediatric (<18y),MPH+ARI,552707,677,49,8.153,6.097,10.903,True
all pediatric (<18y),MPH+QUE,552707,274,13,5.312,3.072,9.185,True
all pediatric (<18y),ARI+GUA,552707,359,32,10.246,7.138,14.707,True
all pediatric (<18y),QUE+GUA,552707,127,14,13.151,7.608,22.731,True
all pediatric (<18y),QUE+FLU,552707,545,44,9.179,6.748,12.487,True
all pediatric (<18y),MPH+RIS,552707,872,5,0.651,0.281,1.505,False
all pediatric (<18y),AMP+SER,552707,431,11,2.812,1.564,5.055,True
