combo,drug_A,drug_B,n_co_reported,n_cardiac_events,ROR,CI_lo,CI_hi,signal
Escitalopram+Imipramine,Escitalopram,Imipramine,6,1,28.012,4.604,170.417,True
Imipramine+Sertraline,Imipramine,Sertraline,10,1,16.217,2.897,90.771,True
Aripiprazole+Imipramine,Aripiprazole,Imipramine,11,1,14.673,2.651,81.21,True
Nortriptyline+Risperidone,Nortriptyline,Risperidone,3,0,14.67,0.758,284.059,False
Guanfacine+Quetiapine,Guanfacine,Quetiapine,127,14,13.151,7.608,22.732,True
Methylphenidate+Sertraline,Methylphenidate,Sertraline,578,63,12.789,9.84,16.621,True
Clonidine+Nortriptyline,Clonidine,Nortriptyline,4,0,11.41,0.614,211.965,False
Amphetamine+Nortriptyline,Amphetamine,Nortriptyline,4,0,11.41,0.614,211.965,False
Aripiprazole+Guanfacine,Aripiprazole,Guanfacine,359,32,10.246,7.138,14.708,True
Fluoxetine+Nortriptyline,Fluoxetine,Nortriptyline,5,0,9.336,0.516,168.859,False
Aripiprazole+Nortriptyline,Aripiprazole,Nortriptyline,5,0,9.336,0.516,168.859,False
Fluoxetine+Quetiapine,Fluoxetine,Quetiapine,545,44,9.18,6.748,12.488,True
Aripiprazole+Methylphenidate,Aripiprazole,Methylphenidate,677,49,8.154,6.097,10.903,True
Amphetamine+Imipramine,Amphetamine,Imipramine,6,0,7.899,0.445,140.245,False
Guanfacine+Imipramine,Guanfacine,Imipramine,6,0,7.899,0.445,140.245,False
Clonidine+Imipramine,Clonidine,Imipramine,7,0,6.846,0.391,119.888,False
Aripiprazole+Sertraline,Aripiprazole,Sertraline,1018,62,6.777,5.24,8.766,True
Nortriptyline+Sertraline,Nortriptyline,Sertraline,8,0,6.041,0.349,104.674,False
Quetiapine+Sertraline,Quetiapine,Sertraline,831,44,5.843,4.315,7.912,True
Methylphenidate+Quetiapine,Methylphenidate,Quetiapine,277,13,5.252,3.037,9.08,True
Imipramine+Methylphenidate,Imipramine,Methylphenidate,11,0,4.465,0.263,75.779,False
