drug,n_cases_with_drug,n_cardiac_events,ROR_primary,CI_lo_primary,CI_hi_primary,signal_primary,ROR_broad,CI_lo_broad,CI_hi_broad
Nortriptyline,200,18,10.442,6.468,16.857,True,6.781,4.408,10.431
Imipramine,172,7,4.658,2.24,9.688,True,3.305,1.77,6.172
Guanfacine,2936,124,4.63,3.861,5.552,True,3.674,3.173,4.255
Quetiapine,4936,189,4.213,3.634,4.884,True,3.258,2.889,3.674
Fluoxetine,5894,218,4.079,3.553,4.682,True,4.483,4.068,4.94
Sertraline,7451,215,3.145,2.738,3.611,True,3.117,2.819,3.447
Aripiprazole,6701,170,2.736,2.344,3.193,True,2.275,2.016,2.568
Escitalopram,2658,60,2.407,1.862,3.11,True,1.871,1.521,2.302
Methylphenidate,10523,169,1.703,1.46,1.987,True,2.191,1.984,2.419
Amphetamine,5537,70,1.328,1.049,1.683,True,2.04,1.776,2.345
Clonidine,4306,50,1.22,0.923,1.613,False,1.223,1.003,1.492
Risperidone,14000,159,1.189,1.015,1.393,True,1.007,0.892,1.138
