combo,year,n_combo,n_cardiac,ROR,CI_lo,CI_hi,signal
MPH+SER,2015,62,2,4.37,1.228,15.553,True
MPH+SER,2016,50,0,0.925,0.057,15.02,False
MPH+SER,2017,46,1,2.916,0.572,14.868,False
MPH+SER,2018,35,3,10.796,3.573,32.622,True
MPH+SER,2019,51,0,1.088,0.067,17.65,False
MPH+SER,2020,55,0,0.812,0.05,13.151,False
MPH+SER,2021,43,2,4.947,1.377,17.771,True
MPH+SER,2022,53,3,7.587,2.559,22.495,True
MPH+SER,2023,89,14,20.156,11.424,35.563,True
MPH+SER,2024,94,38,111.637,73.379,169.842,True
MPH+ARI,2015,54,1,2.957,0.582,15.034,False
MPH+ARI,2016,51,0,0.907,0.056,14.724,False
MPH+ARI,2017,73,0,0.6,0.037,9.698,False
MPH+ARI,2018,49,0,1.007,0.062,16.344,False
MPH+ARI,2019,62,0,0.896,0.055,14.507,False
MPH+ARI,2020,70,1,1.947,0.386,9.829,False
MPH+ARI,2021,68,0,0.597,0.037,9.658,False
MPH+ARI,2022,52,0,1.037,0.064,16.816,False
MPH+ARI,2023,89,10,13.768,7.197,26.336,True
MPH+ARI,2024,109,37,84.541,56.408,126.704,True
MPH+QUE,2015,25,1,6.463,1.239,33.719,True
MPH+QUE,2016,35,0,1.316,0.081,21.498,False
MPH+QUE,2017,21,0,2.054,0.124,33.954,False
MPH+QUE,2018,31,11,57.081,27.589,118.101,True
MPH+QUE,2019,33,0,1.673,0.102,27.337,False
MPH+QUE,2020,30,0,1.477,0.09,24.186,False
MPH+QUE,2021,25,1,5.022,0.964,26.16,False
MPH+QUE,2022,9,0,5.733,0.333,98.632,False
MPH+QUE,2023,38,0,1.332,0.082,21.713,False
MPH+QUE,2024,30,0,2.484,0.152,40.678,False
ARI+GUA,2015,40,0,1.299,0.08,21.166,False
ARI+GUA,2016,35,0,1.316,0.081,21.498,False
ARI+GUA,2017,38,0,1.146,0.07,18.688,False
ARI+GUA,2018,36,1,4.22,0.822,21.668,False
ARI+GUA,2019,9,0,5.901,0.343,101.52,False
ARI+GUA,2020,25,0,1.767,0.107,29.058,False
ARI+GUA,2021,23,3,14.048,4.51,43.756,True
ARI+GUA,2022,40,6,20.752,8.936,48.192,True
ARI+GUA,2023,65,18,41.173,23.915,70.883,True
ARI+GUA,2024,48,4,15.442,5.833,40.879,True
QUE+GUA,2015,7,1,24.371,4.116,144.314,True
QUE+GUA,2016,8,0,5.502,0.317,95.49,False
QUE+GUA,2017,21,0,2.054,0.124,33.954,False
QUE+GUA,2018,25,11,80.709,37.051,175.813,True
QUE+GUA,2019,15,1,11.619,2.159,62.534,True
QUE+GUA,2020,14,0,3.108,0.185,52.161,False
QUE+GUA,2021,15,1,8.487,1.577,45.667,True
QUE+GUA,2022,6,0,8.379,0.471,148.941,False
QUE+GUA,2023,4,0,11.405,0.613,212.08,False
QUE+GUA,2024,12,0,6.062,0.358,102.532,False
QUE+FLU,2015,30,5,23.035,9.11,58.245,True
QUE+FLU,2016,24,2,10.44,2.816,38.705,True
QUE+FLU,2017,62,1,2.156,0.426,10.922,False
QUE+FLU,2018,56,0,0.882,0.054,14.292,False
QUE+FLU,2019,48,5,14.294,5.865,34.839,True
QUE+FLU,2020,74,7,10.109,4.737,21.576,True
QUE+FLU,2021,47,0,0.862,0.053,13.996,False
QUE+FLU,2022,55,0,0.981,0.06,15.894,False
QUE+FLU,2023,45,0,1.127,0.069,18.32,False
QUE+FLU,2024,104,24,48.391,30.516,76.736,True
MPH+RIS,2015,80,2,3.366,0.951,11.912,False
MPH+RIS,2016,133,0,0.349,0.022,5.621,False
MPH+RIS,2017,122,0,0.36,0.022,5.79,False
MPH+RIS,2018,67,0,0.738,0.046,11.937,False
MPH+RIS,2019,64,0,0.868,0.054,14.052,False
MPH+RIS,2020,60,0,0.744,0.046,12.051,False
MPH+RIS,2021,70,0,0.58,0.036,9.381,False
MPH+RIS,2022,63,0,0.857,0.053,13.868,False
MPH+RIS,2023,114,0,0.447,0.028,7.206,False
MPH+RIS,2024,102,3,5.357,1.838,15.61,True
AMP+SER,2015,23,0,2.239,0.136,36.944,False
AMP+SER,2016,35,0,1.316,0.081,21.498,False
AMP+SER,2017,40,5,13.826,5.605,34.104,True
AMP+SER,2018,20,0,2.432,0.147,40.267,False
AMP+SER,2019,32,0,1.724,0.105,28.196,False
AMP+SER,2020,29,0,1.527,0.093,25.025,False
AMP+SER,2021,45,5,11.204,4.583,27.39,True
AMP+SER,2022,84,1,1.958,0.389,9.864,False
AMP+SER,2023,55,0,0.924,0.057,14.975,False
AMP+SER,2024,68,0,1.105,0.068,17.878,False
