combination,drug_a,drug_b,dQTc_adult_ms,tier_adult,IKr_adult_pct,dQTc_peds_ms,tier_peds,IKr_peds_pct,delta_dQTc_ms,tier_changed,tier_escalated,conf_a,conf_b,overall_conf
MPH+QUE,MPH,QUE,10.5,MODERATE,0.93,24.3,HIGH,7.49,13.8,True,True,MEDIUM,MEDIUM,MEDIUM
QUE+NOR,QUE,NOR,7.0,LOW-MOD,3.56,21.0,HIGH,9.98,14.0,True,True,MEDIUM,LOW,LOW
QUE+SER,QUE,SER,2.5,LOW,1.12,19.5,MODERATE,9.38,17.0,True,True,MEDIUM,HIGH,MEDIUM
QUE+FLU,QUE,FLU,2.5,LOW,1.25,19.5,MODERATE,9.31,17.0,True,True,MEDIUM,MEDIUM,MEDIUM
MPH+AMP,MPH,AMP,18.7,MODERATE,0.0,18.7,MODERATE,0.0,0.0,False,False,MEDIUM,MEDIUM,MEDIUM
ARI+QUE,ARI,QUE,10.5,MODERATE,5.11,17.5,MODERATE,8.45,7.0,False,False,LOW,MEDIUM,LOW
QUE+ARI,QUE,ARI,10.5,MODERATE,5.11,17.5,MODERATE,8.45,7.0,False,False,MEDIUM,LOW,LOW
MPH+NOR,MPH,NOR,14.3,MODERATE,2.65,14.3,MODERATE,2.69,0.0,False,False,MEDIUM,LOW,LOW
AMP+NOR,AMP,NOR,14.3,MODERATE,2.65,14.3,MODERATE,2.69,0.0,False,False,MEDIUM,LOW,LOW
QUE+GUA,QUE,GUA,0.1,LOW,0.93,13.7,MODERATE,7.49,13.6,True,True,MEDIUM,HIGH,MEDIUM
MPH+SER,MPH,SER,9.1,LOW-MOD,0.19,12.9,MODERATE,2.04,3.8,True,True,MEDIUM,HIGH,MEDIUM
AMP+SER,AMP,SER,9.1,LOW-MOD,0.19,12.9,MODERATE,2.04,3.8,True,True,MEDIUM,HIGH,MEDIUM
MPH+FLU,MPH,FLU,9.6,LOW-MOD,0.33,12.9,MODERATE,1.97,3.3,True,True,MEDIUM,MEDIUM,MEDIUM
MPH+IMI,MPH,IMI,10.5,MODERATE,0.73,11.9,MODERATE,1.55,1.4,False,False,MEDIUM,MEDIUM,MEDIUM
AMP+IMI,AMP,IMI,10.5,MODERATE,0.73,11.9,MODERATE,1.55,1.4,False,False,MEDIUM,MEDIUM,MEDIUM
MPH+ARI,MPH,ARI,17.2,MODERATE,4.22,11.0,MODERATE,1.04,-6.2,False,False,MEDIUM,LOW,LOW
AMP+ARI,AMP,ARI,17.2,MODERATE,4.22,11.0,MODERATE,1.04,-6.2,False,False,MEDIUM,LOW,LOW
MPH+RIS,MPH,RIS,9.6,LOW-MOD,0.36,10.0,MODERATE,0.69,0.4,True,True,MEDIUM,HIGH,MEDIUM
AMP+RIS,AMP,RIS,9.6,LOW-MOD,0.36,10.0,MODERATE,0.69,0.4,True,True,MEDIUM,HIGH,MEDIUM
FLU+NOR,FLU,NOR,6.0,LOW-MOD,2.98,9.5,LOW-MOD,4.61,3.5,False,False,MEDIUM,LOW,LOW
MPH+ESC,MPH,ESC,9.1,LOW-MOD,0.03,9.1,LOW-MOD,0.14,0.0,False,False,MEDIUM,MEDIUM,MEDIUM
IMI+NOR,IMI,NOR,6.5,LOW-MOD,3.37,8.5,LOW-MOD,4.2,2.0,False,False,MEDIUM,LOW,LOW
ARI+NOR,ARI,NOR,14.0,MODERATE,6.76,7.5,LOW-MOD,3.7,-6.5,True,False,LOW,LOW,LOW
RIS+NOR,RIS,NOR,6.0,LOW-MOD,3.0,6.5,LOW-MOD,3.36,0.5,False,False,HIGH,LOW,LOW
ARI+FLU,ARI,FLU,9.0,LOW-MOD,4.53,6.0,LOW-MOD,2.99,-3.0,False,False,LOW,MEDIUM,LOW
ARI+SER,ARI,SER,9.0,LOW-MOD,4.4,6.0,LOW-MOD,3.06,-3.0,False,False,LOW,HIGH,LOW
ARI+IMI,ARI,IMI,10.0,MODERATE,4.92,5.0,LOW-MOD,2.58,-5.0,True,False,LOW,MEDIUM,LOW
RIS+ARI,RIS,ARI,9.0,LOW-MOD,4.56,3.5,LOW,1.72,-5.5,True,False,HIGH,LOW,LOW
ARI+ESC,ARI,ESC,8.5,LOW-MOD,4.25,2.5,LOW,1.17,-6.0,True,False,LOW,MEDIUM,LOW
ARI+GUA,ARI,GUA,6.9,LOW-MOD,4.22,0.1,LOW,1.04,-6.8,True,False,LOW,HIGH,LOW
