combination,class,dAPD,dQTcF,dQTcB,APD90_ms,CL_eff_ms
MPH+AMP,stimulant,-8.4,10.277155433130304,20.066666666666663,255.3,810.0
CLO+GUA,alpha-2,10.6,-6.280720310785625,-14.32727272727277,274.2,1210.0
NOR+MPH+ARI,stimulant,7.9,17.604541788824235,22.586128245238342,271.5,900.0
MPH+ARI+FLU,stimulant,4.3,13.875862781679587,18.79139505303624,267.9,900.0
AMP+ARI,stimulant,3.8,13.357990697353898,18.264348776341535,267.4,900.0
MPH+ARI+ESC,stimulant,3.8,13.357990697353898,18.264348776341535,267.4,900.0
AMP+ARI+SER,stimulant,3.8,13.357990697353898,18.264348776341535,267.4,900.0
MPH+ARI,stimulant,3.8,13.357990697353898,18.264348776341535,267.4,900.0
MPH+ARI+SER,stimulant,3.8,13.357990697353898,18.264348776341535,267.4,900.0
AMP+NOR,stimulant,1.1,10.561481441995454,15.418298882189958,264.7,900.0
MPH+NOR,stimulant,1.1,10.561481441995454,15.418298882189958,264.7,900.0
MPH+QUE+SER,stimulant,-1.2,8.282844270962642,13.0992952647332,262.5,900.0
IMI+MPH+RIS,stimulant,-1.2,8.282844270962642,13.0992952647332,262.5,900.0
MPH+RIS+FLU,stimulant,-2.1,7.3506745191764935,12.150611966682675,261.6,900.0
MPH+IMI,stimulant,-2.1,7.3506745191764935,12.150611966682675,261.6,900.0
AMP+IMI,stimulant,-2.1,7.3506745191764935,12.150611966682675,261.6,900.0
AMP+RIS+SER,stimulant,-2.1,7.3506745191764935,12.150611966682675,261.6,900.0
MPH+RIS+SER,stimulant,-2.1,7.3506745191764935,12.150611966682675,261.6,900.0
MPH+ESC,stimulant,-3.0,6.418504767390289,11.20192866863215,260.7,900.0
AMP+ESC,stimulant,-3.0,6.418504767390289,11.20192866863215,260.7,900.0
MPH+QUE,stimulant,-1.6,7.76497218663701,12.572248988038439,262.0,900.0
AMP+QUE,stimulant,-1.6,7.76497218663701,12.572248988038439,262.0,900.0
IMI+MPH+SER,stimulant,-1.6,7.76497218663701,12.572248988038439,262.0,900.0
AMP+FLU,stimulant,-2.5,6.832802434850862,11.62356568998797,261.1,900.0
MPH+FLU,stimulant,-2.5,6.832802434850862,11.62356568998797,261.1,900.0
AMP+RIS,stimulant,-2.5,6.832802434850862,11.62356568998797,261.1,900.0
MPH+RIS,stimulant,-2.5,6.832802434850862,11.62356568998797,261.1,900.0
MPH+SER,stimulant,-2.5,6.832802434850862,11.62356568998797,261.1,900.0
AMP+SER,stimulant,-2.5,6.832802434850862,11.62356568998797,261.1,900.0
ARI+FLU+CLO,alpha-2,11.0,2.4130674691920717,-1.7791729931603868,274.6,1100.0
ARI+GUA,alpha-2,10.4,1.831829885501179,-2.3512505467077744,274.0,1100.0
ARI+CLO,alpha-2,10.4,1.831829885501179,-2.3512505467077744,274.0,1100.0
CLO+NOR,alpha-2,7.7,-0.7837392411077531,-4.925599537670848,271.3,1100.0
GUA+NOR,alpha-2,7.7,-0.7837392411077531,-4.925599537670848,271.3,1100.0
QUE+CLO,alpha-2,4.9,-3.4961812983318623,-7.595294787558487,268.5,1100.0
QUE+SER+CLO,alpha-2,4.9,-3.4961812983318623,-7.595294787558487,268.5,1100.0
QUE+GUA,alpha-2,4.9,-3.4961812983318623,-7.595294787558487,268.5,1100.0
GUA+IMI,alpha-2,4.4,-3.9805459514076347,-8.07202608218131,268.0,1100.0
CLO+IMI,alpha-2,4.4,-3.9805459514076347,-8.07202608218131,268.0,1100.0
FLU+CLO,alpha-2,3.8,-4.561783535098527,-8.64410363572867,267.4,1100.0
RIS+GUA,alpha-2,3.8,-4.561783535098527,-8.64410363572867,267.4,1100.0
RIS+CLO,alpha-2,3.8,-4.561783535098527,-8.64410363572867,267.4,1100.0
RIS+SER+CLO,alpha-2,3.8,-4.561783535098527,-8.64410363572867,267.4,1100.0
FLU+GUA,alpha-2,3.8,-4.561783535098527,-8.64410363572867,267.4,1100.0
SER+GUA,alpha-2,3.3,-5.046148188174243,-9.120834930351464,266.9,1100.0
SER+CLO,alpha-2,3.3,-5.046148188174243,-9.120834930351464,266.9,1100.0
ESC+CLO,alpha-2,3.3,-5.046148188174243,-9.120834930351464,266.9,1100.0
ESC+GUA,alpha-2,3.3,-5.046148188174243,-9.120834930351464,266.9,1100.0
MPH+CLO,stimulant,1.3,2.2892684097162146,2.7350210436911766,265.0,990.0
AMP+GUA,stimulant,1.3,2.2892684097162146,2.7350210436911766,265.0,990.0
MPH+GUA+SER,stimulant,1.3,2.2892684097162146,2.7350210436911766,265.0,990.0
MPH+GUA,stimulant,1.3,2.2892684097162146,2.7350210436911766,265.0,990.0
MPH+CLO+RIS,stimulant,1.3,2.2892684097162146,2.7350210436911766,265.0,990.0
AMP+CLO,stimulant,1.3,2.2892684097162146,2.7350210436911766,265.0,990.0
MPH+CLO+ARI,stimulant,7.8,8.710745080743266,9.167263061350127,271.4,990.0
MPH+GUA+ARI,stimulant,7.8,8.710745080743266,9.167263061350127,271.4,990.0
FLU+NOR,hERG/other,5.0,5.0,5.0,268.6,1000.0
RIS+NOR,hERG/other,5.0,5.0,5.0,268.6,1000.0
SER+NOR,hERG/other,4.5,4.5,4.5,268.1,1000.0
ESC+NOR,hERG/other,4.5,4.5,4.5,268.1,1000.0
ARI+ESC,hERG/other,7.0,7.0,7.0,270.6,1000.0
IMI+NOR,hERG/other,5.5,5.5,5.5,269.1,1000.0
ARI+NOR,hERG/other,11.5,11.5,11.5,275.1,1000.0
QUE+ARI,hERG/other,8.5,8.5,8.5,272.1,1000.0
ARI+IMI,hERG/other,8.0,8.0,8.0,271.6,1000.0
ARI+SER,hERG/other,7.5,7.5,7.5,271.1,1000.0
ARI+FLU,hERG/other,7.5,7.5,7.5,271.1,1000.0
RIS+ARI,hERG/other,7.5,7.5,7.5,271.1,1000.0
RIS+QUE,hERG/other,2.0,2.0,2.0,265.6,1000.0
QUE+FLU,hERG/other,2.0,2.0,2.0,265.6,1000.0
QUE+IMI,hERG/other,2.5,2.5,2.5,266.1,1000.0
QUE+NOR,hERG/other,6.0,6.0,6.0,269.6,1000.0
SER+FLU,hERG/other,0.5,0.5,0.5,264.1,1000.0
FLU+ESC,hERG/other,0.5,0.5,0.5,264.1,1000.0
RIS+SER,hERG/other,0.5,0.5,0.5,264.1,1000.0
SER+ESC,hERG/other,0.0,0.0,0.0,263.6,1000.0
QUE+ESC,hERG/other,1.5,1.5,1.5,265.1,1000.0
SER+IMI,hERG/other,1.5,1.5,1.5,265.1,1000.0
QUE+SER,hERG/other,1.5,1.5,1.5,265.1,1000.0
RIS+IMI,hERG/other,1.5,1.5,1.5,265.1,1000.0
FLU+IMI,hERG/other,1.5,1.5,1.5,265.1,1000.0
ESC+IMI,hERG/other,1.0,1.0,1.0,264.6,1000.0
RIS+FLU,hERG/other,1.0,1.0,1.0,264.6,1000.0
RIS+ESC,hERG/other,0.5,0.5,0.5,264.1,1000.0
