drug_A,drug_B,combination,n_drugs,APD90_ms,QTc_ms,ΔAPD90_ms,ΔQTc_ms,IKr_block_pct,risk_flag,CL_eff_ms,drugs
,,NOR+MPH+ARI,3,337.7,355.9,6.0,24.3,6.76,HIGH,900.0,Nortriptyline + Methylphenidate + Aripiprazole
Methylphenidate,Amphetamine,MPH+AMP,2,315.7,350.7,-16.0,19.1,0.0,MODERATE,810.0,
,,MPH+ARI+FLU,3,332.7,350.7,1.1,19.0,4.53,MODERATE,900.0,Methylphenidate + Aripiprazole + Fluoxetine
,,AMP+ARI+SER,3,332.3,350.2,0.6,18.6,4.4,MODERATE,900.0,Amphetamine + Aripiprazole + Sertraline
,,MPH+ARI+SER,3,332.3,350.2,0.6,18.6,4.4,MODERATE,900.0,Methylphenidate + Aripiprazole + Sertraline
Methylphenidate,Aripiprazole,MPH+ARI,2,331.8,349.8,0.2,18.1,4.22,MODERATE,900.0,
,,MPH+ARI+ESC,3,331.8,349.8,0.2,18.1,4.25,MODERATE,900.0,Methylphenidate + Aripiprazole + Escitalopram
Amphetamine,Aripiprazole,AMP+ARI,2,331.8,349.8,0.2,18.1,4.22,MODERATE,900.0,
,,MPH+GUA+ARI,3,346.2,347.9,14.5,16.3,4.22,MODERATE,990.0,Methylphenidate + Guanfacine + Aripiprazole
,,MPH+CLO+ARI,3,346.2,347.9,14.5,16.3,4.22,MODERATE,990.0,Methylphenidate + Clonidine + Aripiprazole
Aripiprazole,Nortriptyline,ARI+NOR,2,346.7,346.7,15.0,15.0,6.76,MODERATE,1000.0,
Methylphenidate,Nortriptyline,MPH+NOR,2,328.7,346.4,-3.0,14.8,2.65,MODERATE,900.0,
Amphetamine,Nortriptyline,AMP+NOR,2,328.7,346.4,-3.0,14.8,2.65,MODERATE,900.0,
Quetiapine,Aripiprazole,QUE+ARI,2,343.2,343.2,11.5,11.5,5.11,MODERATE,1000.0,
,,MPH+QUE+SER,3,325.5,343.1,-6.2,11.5,1.12,MODERATE,900.0,Methylphenidate + Quetiapine + Sertraline
,,IMI+MPH+RIS,3,325.5,343.1,-6.2,11.5,1.09,MODERATE,900.0,Imipramine + Methylphenidate + Risperidone
Aripiprazole,Imipramine,ARI+IMI,2,342.7,342.7,11.0,11.0,4.92,MODERATE,1000.0,
Amphetamine,Quetiapine,AMP+QUE,2,325.1,342.6,-6.6,11.0,0.93,MODERATE,900.0,
Methylphenidate,Quetiapine,MPH+QUE,2,325.1,342.6,-6.6,11.0,0.93,MODERATE,900.0,
,,IMI+MPH+SER,3,325.1,342.6,-6.6,11.0,0.92,MODERATE,900.0,Imipramine + Methylphenidate + Sertraline
Amphetamine,Imipramine,AMP+IMI,2,324.6,342.2,-7.1,10.5,0.73,MODERATE,900.0,
,,MPH+RIS+FLU,3,324.6,342.2,-7.1,10.5,0.68,MODERATE,900.0,Methylphenidate + Risperidone + Fluoxetine
,,MPH+RIS+SER,3,324.6,342.2,-7.1,10.5,0.55,MODERATE,900.0,Methylphenidate + Risperidone + Sertraline
,,AMP+RIS+SER,3,324.6,342.2,-7.1,10.5,0.55,MODERATE,900.0,Amphetamine + Risperidone + Sertraline
Methylphenidate,Imipramine,MPH+IMI,2,324.6,342.2,-7.1,10.5,0.73,MODERATE,900.0,
Amphetamine,Risperidone,AMP+RIS,2,324.2,341.7,-7.5,10.0,0.36,MODERATE,900.0,
Methylphenidate,Risperidone,MPH+RIS,2,324.2,341.7,-7.5,10.0,0.36,MODERATE,900.0,
Risperidone,Aripiprazole,RIS+ARI,2,341.7,341.7,10.0,10.0,4.56,MODERATE,1000.0,
Aripiprazole,Fluoxetine,ARI+FLU,2,341.7,341.7,10.0,10.0,4.53,MODERATE,1000.0,
Amphetamine,Fluoxetine,AMP+FLU,2,324.2,341.7,-7.5,10.0,0.33,MODERATE,900.0,
Methylphenidate,Fluoxetine,MPH+FLU,2,324.2,341.7,-7.5,10.0,0.33,MODERATE,900.0,
Methylphenidate,Sertraline,MPH+SER,2,323.7,341.2,-8.0,9.6,0.19,LOW-MOD,900.0,
