,MPH,AMP,RIS,QUE,ARI,SER,FLU,ESC,CLO,GUA,IMI,NOR
MPH,0.0,23.8,11.7,12.7,17.9,11.3,11.7,11.3,6.1,6.1,12.2,15.0
AMP,23.8,0.0,11.7,12.7,17.9,11.3,11.7,11.3,6.1,6.1,12.2,15.0
RIS,11.7,11.7,0.0,2.0,7.0,1.0,1.0,0.5,-3.6,-3.6,1.5,4.5
QUE,12.7,12.7,2.0,0.0,8.0,2.0,2.0,1.5,-2.6,-2.6,2.5,5.5
ARI,17.9,17.9,7.0,8.0,0.0,7.0,7.0,6.5,2.7,2.7,8.0,11.0
SER,11.3,11.3,1.0,2.0,7.0,0.0,1.0,0.5,-3.6,-3.6,1.5,4.5
FLU,11.7,11.7,1.0,2.0,7.0,1.0,0.0,0.5,-3.6,-3.6,1.5,4.5
ESC,11.3,11.3,0.5,1.5,6.5,0.5,0.5,0.0,-4.2,-4.2,1.0,4.0
CLO,6.1,6.1,-3.6,-2.6,2.7,-3.6,-3.6,-4.2,0.0,-6.1,-3.1,0.0
GUA,6.1,6.1,-3.6,-2.6,2.7,-3.6,-3.6,-4.2,-6.1,0.0,-3.1,0.0
IMI,12.2,12.2,1.5,2.5,8.0,1.5,1.5,1.0,-3.1,-3.1,0.0,5.5
NOR,15.0,15.0,4.5,5.5,11.0,4.5,4.5,4.0,0.0,0.0,5.5,0.0
