combination,dAPD_1x,dAPD_2x,dAPD_3x,dAPD_5x,dAPD_10x,max_dAPD,fold_to_concern
NOR+MPH+ARI,10.0,20.8,31.1,50.9,95.9,95.9,1.0
ARI+NOR,12.0,23.0,34.0,55.0,102.6,102.6,1.0
ARI+FLU+CLO,10.6,18.3,25.4,39.7,71.1,71.1,1.0
ARI+CLO,10.0,17.2,23.8,36.4,65.6,65.6,1.0
ARI+GUA,10.0,17.2,23.8,36.4,65.6,65.6,1.0
QUE+ARI,9.0,17.5,25.5,41.0,76.5,76.5,1.1
ARI+IMI,8.5,16.5,24.5,39.5,73.5,73.5,1.2
MPH+CLO+ARI,8.7,16.2,22.1,35.0,62.7,62.7,1.2
MPH+GUA+ARI,8.7,16.2,22.1,35.0,62.7,62.7,1.2
RIS+ARI,8.0,15.5,22.5,36.5,67.5,67.5,1.3
ARI+FLU,8.0,15.5,22.5,36.0,67.0,67.0,1.3
ARI+SER,7.5,15.0,22.0,35.0,65.0,65.0,1.3
ARI+ESC,7.5,14.5,21.0,33.5,62.0,62.0,1.4
MPH+ARI+SER,6.4,13.1,19.4,32.0,59.9,59.9,1.5
MPH+ARI+FLU,6.4,13.6,20.3,32.9,62.2,62.2,1.5
AMP+ARI+SER,6.4,13.1,19.4,32.0,59.9,59.9,1.5
CLO+NOR,7.3,11.7,16.1,24.3,44.1,44.1,1.6
GUA+NOR,7.3,11.7,16.1,24.3,44.1,44.1,1.6
IMI+NOR,6.0,11.5,17.0,27.5,52.5,52.5,1.7
QUE+NOR,6.0,12.0,18.0,29.0,55.5,55.5,1.7
AMP+ARI,5.9,12.2,18.5,30.7,57.2,57.2,1.7
MPH+ARI+ESC,5.9,12.2,19.0,30.7,57.7,57.7,1.7
MPH+ARI,5.9,12.2,18.5,30.7,57.2,57.2,1.7
FLU+NOR,5.0,10.0,15.0,24.0,46.0,46.0,2.0
RIS+NOR,5.0,10.0,15.0,24.5,46.5,46.5,2.0
SER+NOR,5.0,9.5,14.0,23.0,44.0,44.0,2.1
ESC+NOR,4.5,9.0,13.5,21.5,41.0,41.0,2.2
AMP+NOR,3.2,7.3,11.3,19.4,37.4,37.4,2.7
MPH+NOR,3.2,7.3,11.3,19.4,37.4,37.4,2.7
QUE+IMI,3.0,5.5,8.5,14.0,27.0,27.0,3.5
QUE+SER+CLO,4.5,6.2,8.4,12.2,21.0,21.0,3.9
RIS+QUE,2.5,4.5,6.5,10.5,21.0,21.0,4.7
QUE+GUA,4.0,5.6,7.3,10.6,17.7,17.7,4.7
QUE+CLO,4.0,5.6,7.3,10.6,17.7,17.7,4.7
QUE+FLU,2.0,4.5,6.5,10.5,20.5,20.5,4.7
QUE+SER,2.0,4.0,5.5,9.5,18.0,18.0,5.3
RIS+IMI,2.0,3.5,5.5,9.0,18.0,18.0,5.6
FLU+IMI,2.0,3.5,5.5,9.0,17.5,17.5,5.6
GUA+IMI,4.0,5.1,6.2,8.9,15.0,15.0,5.9
CLO+IMI,4.0,5.1,6.2,8.9,15.0,15.0,5.9
QUE+ESC,1.5,3.5,5.0,8.0,15.5,15.5,6.3
MPH+QUE+SER,1.0,2.8,4.1,7.7,16.3,16.3,6.3
SER+IMI,1.5,3.0,4.5,8.0,15.0,15.0,6.4
IMI+MPH+RIS,1.0,2.3,4.1,7.7,15.8,15.8,6.4
AMP+QUE,0.5,1.9,3.2,6.4,13.1,13.1,7.7
MPH+QUE,0.5,1.9,3.2,6.4,13.1,13.1,7.7
IMI+MPH+SER,0.5,1.9,3.2,6.4,13.1,13.1,7.7
ESC+IMI,1.5,2.5,4.0,6.5,12.5,12.5,7.9
RIS+SER+CLO,3.4,4.5,5.6,7.3,11.7,11.7,8.1
RIS+FLU,1.5,2.5,3.5,6.0,11.5,11.5,8.6
AMP+IMI,0.1,1.4,2.3,4.6,10.4,10.4,9.7
MPH+IMI,0.1,1.4,2.3,4.6,10.4,10.4,9.7
MPH+RIS+FLU,0.1,1.4,2.3,4.6,9.5,9.5,
MPH+RIS+SER,0.1,1.0,1.9,3.2,7.7,7.7,
AMP+RIS+SER,0.1,1.0,1.9,3.2,7.7,7.7,
SER+FLU,1.0,2.0,2.5,4.5,8.5,8.5,
RIS+SER,1.0,2.0,3.0,4.5,9.0,9.0,
