combination,cl_reduction,gcal_up,dQTc_ms,risk_tier,is_base_case
MPH+AMP,0.05,0.1,11.9,MODERATE,False
MPH+ARI,0.05,0.1,14.0,MODERATE,False
MPH+QUE,0.05,0.1,7.7,LOW-MOD,False
MPH+SER,0.05,0.1,6.2,LOW-MOD,False
MPH+NOR,0.05,0.1,11.1,MODERATE,False
AMP+ARI,0.05,0.1,14.0,MODERATE,False
AMP+SER,0.05,0.1,6.2,LOW-MOD,False
MPH+AMP,0.05,0.125,14.8,MODERATE,False
MPH+ARI,0.05,0.125,15.5,MODERATE,False
MPH+QUE,0.05,0.125,8.6,LOW-MOD,False
MPH+SER,0.05,0.125,7.2,LOW-MOD,False
MPH+NOR,0.05,0.125,12.1,MODERATE,False
AMP+ARI,0.05,0.125,15.5,MODERATE,False
AMP+SER,0.05,0.125,7.2,LOW-MOD,False
MPH+AMP,0.05,0.15,17.1,MODERATE,False
MPH+ARI,0.05,0.15,16.9,MODERATE,False
MPH+QUE,0.05,0.15,10.1,MODERATE,False
MPH+SER,0.05,0.15,8.6,LOW-MOD,False
MPH+NOR,0.05,0.15,13.5,MODERATE,False
AMP+ARI,0.05,0.15,16.9,MODERATE,False
AMP+SER,0.05,0.15,8.6,LOW-MOD,False
MPH+AMP,0.05,0.175,20.0,HIGH,False
MPH+ARI,0.05,0.175,17.9,MODERATE,False
MPH+QUE,0.05,0.175,11.1,MODERATE,False
MPH+SER,0.05,0.175,9.6,LOW-MOD,False
MPH+NOR,0.05,0.175,15.0,MODERATE,False
AMP+ARI,0.05,0.175,17.9,MODERATE,False
AMP+SER,0.05,0.175,9.6,LOW-MOD,False
MPH+AMP,0.05,0.2,22.8,HIGH,False
MPH+ARI,0.05,0.2,19.4,MODERATE,False
MPH+QUE,0.05,0.2,12.5,MODERATE,False
MPH+SER,0.05,0.2,11.1,MODERATE,False
MPH+NOR,0.05,0.2,16.0,MODERATE,False
AMP+ARI,0.05,0.2,19.4,MODERATE,False
AMP+SER,0.05,0.2,11.1,MODERATE,False
MPH+AMP,0.075,0.1,12.6,MODERATE,False
MPH+ARI,0.075,0.1,14.5,MODERATE,False
MPH+QUE,0.075,0.1,7.8,LOW-MOD,False
MPH+SER,0.075,0.1,6.3,LOW-MOD,False
MPH+NOR,0.075,0.1,11.1,MODERATE,False
AMP+ARI,0.075,0.1,14.5,MODERATE,False
AMP+SER,0.075,0.1,6.3,LOW-MOD,False
MPH+AMP,0.075,0.125,15.4,MODERATE,False
MPH+ARI,0.075,0.125,15.5,MODERATE,False
MPH+QUE,0.075,0.125,9.2,LOW-MOD,False
MPH+SER,0.075,0.125,7.8,LOW-MOD,False
MPH+NOR,0.075,0.125,12.6,MODERATE,False
AMP+ARI,0.075,0.125,15.5,MODERATE,False
AMP+SER,0.075,0.125,7.8,LOW-MOD,False
MPH+AMP,0.075,0.15,18.2,MODERATE,False
MPH+ARI,0.075,0.15,16.9,MODERATE,False
MPH+QUE,0.075,0.15,10.2,MODERATE,False
MPH+SER,0.075,0.15,8.7,LOW-MOD,False
MPH+NOR,0.075,0.15,13.5,MODERATE,False
AMP+ARI,0.075,0.15,16.9,MODERATE,False
AMP+SER,0.075,0.15,8.7,LOW-MOD,False
MPH+AMP,0.075,0.175,20.9,HIGH,False
MPH+ARI,0.075,0.175,18.3,MODERATE,False
MPH+QUE,0.075,0.175,11.6,MODERATE,False
MPH+SER,0.075,0.175,10.2,MODERATE,False
MPH+NOR,0.075,0.175,15.0,MODERATE,False
AMP+ARI,0.075,0.175,18.3,MODERATE,False
AMP+SER,0.075,0.175,10.2,MODERATE,False
MPH+AMP,0.075,0.2,23.7,HIGH,False
MPH+ARI,0.075,0.2,19.3,MODERATE,False
MPH+QUE,0.075,0.2,13.0,MODERATE,False
MPH+SER,0.075,0.2,11.6,MODERATE,False
MPH+NOR,0.075,0.2,16.4,MODERATE,False
AMP+ARI,0.075,0.2,19.3,MODERATE,False
AMP+SER,0.075,0.2,11.6,MODERATE,False
MPH+AMP,0.1,0.1,13.3,MODERATE,False
MPH+ARI,0.1,0.1,14.8,MODERATE,False
MPH+QUE,0.1,0.1,8.1,LOW-MOD,False
MPH+SER,0.1,0.1,6.7,LOW-MOD,False
MPH+NOR,0.1,0.1,11.5,MODERATE,False
AMP+ARI,0.1,0.1,14.8,MODERATE,False
AMP+SER,0.1,0.1,6.7,LOW-MOD,False
MPH+AMP,0.1,0.125,16.0,MODERATE,False
MPH+ARI,0.1,0.125,15.7,MODERATE,False
MPH+QUE,0.1,0.125,9.6,LOW-MOD,False
MPH+SER,0.1,0.125,8.1,LOW-MOD,False
MPH+NOR,0.1,0.125,12.9,MODERATE,False
AMP+ARI,0.1,0.125,15.7,MODERATE,False
AMP+SER,0.1,0.125,8.1,LOW-MOD,False
MPH+AMP,0.1,0.15,18.7,MODERATE,True
MPH+ARI,0.1,0.15,17.2,MODERATE,True
MPH+QUE,0.1,0.15,10.5,MODERATE,True
MPH+SER,0.1,0.15,9.1,LOW-MOD,True
MPH+NOR,0.1,0.15,14.3,MODERATE,True
AMP+ARI,0.1,0.15,17.2,MODERATE,True
AMP+SER,0.1,0.15,9.1,LOW-MOD,True
MPH+AMP,0.1,0.175,21.4,HIGH,False
MPH+ARI,0.1,0.175,18.6,MODERATE,False
MPH+QUE,0.1,0.175,11.9,MODERATE,False
MPH+SER,0.1,0.175,10.5,MODERATE,False
MPH+NOR,0.1,0.175,15.3,MODERATE,False
AMP+ARI,0.1,0.175,18.6,MODERATE,False
AMP+SER,0.1,0.175,10.5,MODERATE,False
MPH+AMP,0.1,0.2,24.1,HIGH,False
MPH+ARI,0.1,0.2,20.0,HIGH,False
MPH+QUE,0.1,0.2,13.4,MODERATE,False
MPH+SER,0.1,0.2,11.9,MODERATE,False
MPH+NOR,0.1,0.2,16.7,MODERATE,False
AMP+ARI,0.1,0.2,20.0,HIGH,False
AMP+SER,0.1,0.2,11.9,MODERATE,False
MPH+AMP,0.125,0.1,14.7,MODERATE,False
MPH+ARI,0.125,0.1,14.9,MODERATE,False
MPH+QUE,0.125,0.1,8.8,LOW-MOD,False
MPH+SER,0.125,0.1,7.4,LOW-MOD,False
MPH+NOR,0.125,0.1,12.1,MODERATE,False
AMP+ARI,0.125,0.1,14.9,MODERATE,False
AMP+SER,0.125,0.1,7.4,LOW-MOD,False
MPH+AMP,0.125,0.125,17.3,MODERATE,False
MPH+ARI,0.125,0.125,16.3,MODERATE,False
MPH+QUE,0.125,0.125,9.7,LOW-MOD,False
MPH+SER,0.125,0.125,8.3,LOW-MOD,False
MPH+NOR,0.125,0.125,13.0,MODERATE,False
AMP+ARI,0.125,0.125,16.3,MODERATE,False
