combination,drugs,n_drugs,APD90_ms,QTc_ms,ΔAPD90_ms,ΔQTc_ms,IKr_block_pct,risk_flag,CL_eff_ms
NOR+MPH+ARI,Nortriptyline + Methylphenidate + Aripiprazole,3,271.5,286.2,7.9,22.5,6.76,HIGH,900.0
MPH+ARI+FLU,Methylphenidate + Aripiprazole + Fluoxetine,3,267.9,282.4,4.3,18.7,4.53,MODERATE,900.0
MPH+ARI+SER,Methylphenidate + Aripiprazole + Sertraline,3,267.4,281.9,3.8,18.3,4.4,MODERATE,900.0
MPH+ARI+ESC,Methylphenidate + Aripiprazole + Escitalopram,3,267.4,281.9,3.8,18.3,4.25,MODERATE,900.0
AMP+ARI+SER,Amphetamine + Aripiprazole + Sertraline,3,267.4,281.9,3.8,18.3,4.4,MODERATE,900.0
MPH+QUE+SER,Methylphenidate + Quetiapine + Sertraline,3,262.5,276.7,-1.2,13.0,1.12,MODERATE,900.0
IMI+MPH+RIS,Imipramine + Methylphenidate + Risperidone,3,262.5,276.7,-1.2,13.0,1.09,MODERATE,900.0
IMI+MPH+SER,Imipramine + Methylphenidate + Sertraline,3,262.0,276.2,-1.6,12.6,0.92,MODERATE,900.0
MPH+RIS+SER,Methylphenidate + Risperidone + Sertraline,3,261.6,275.7,-2.1,12.1,0.55,MODERATE,900.0
MPH+RIS+FLU,Methylphenidate + Risperidone + Fluoxetine,3,261.6,275.7,-2.1,12.1,0.68,MODERATE,900.0
AMP+RIS+SER,Amphetamine + Risperidone + Sertraline,3,261.6,275.7,-2.1,12.1,0.55,MODERATE,900.0
MPH+CLO+ARI,Methylphenidate + Clonidine + Aripiprazole,3,271.4,272.8,7.8,9.1,4.22,LOW-MOD,990.0
MPH+GUA+ARI,Methylphenidate + Guanfacine + Aripiprazole,3,271.4,272.8,7.8,9.1,4.22,LOW-MOD,990.0
MPH+GUA+SER,Methylphenidate + Guanfacine + Sertraline,3,265.0,266.3,1.3,2.7,0.19,LOW,990.0
MPH+CLO+RIS,Methylphenidate + Clonidine + Risperidone,3,265.0,266.3,1.3,2.7,0.36,LOW,990.0
ARI+FLU+CLO,Aripiprazole + Fluoxetine + Clonidine,3,274.6,261.8,11.0,-1.8,4.53,LOW,1100.0
QUE+SER+CLO,Quetiapine + Sertraline + Clonidine,3,268.5,256.0,4.9,-7.6,1.12,LOW,1100.0
RIS+SER+CLO,Risperidone + Sertraline + Clonidine,3,267.4,255.0,3.8,-8.6,0.55,LOW,1100.0
